latin,dhivehi
Vaagotheh neyngi Male in bulhaathah gellenee,ވާގޮތެއް ނޭނގި މާލެއިން ބުޅާތައް ގެއްލެނީ
Hulhumale inn goathi libunu meehunge binthah Fushidhiggaru falhah badhalukuri vaahaka dhogukoffi,ހުޅުމާލެ އިން ގޯތި ލިބުނު މީހުންގެ ބިންތައް ފުށިދިއްގަރު ފަޅަށް ބަދަލުކުރި ވާހަކަ ދޮގުކޮށްފި
Aasaharaage masakkaiy ninmaidheyne bayaku nuvegen alun iulaanu koffi,އާސަހަރާގެ މަސައްކަތް ނިންމައިދޭނެ ބަޔަކު ނުވެގެން އަލުން އިއުލާނުކޮށްފި
Male' ge miskithakun 3 rey mathin 7 fankaa vagah nagaifi,މާލޭގެ މިސްކިތަކުން ތިން ރޭ މަތިން ހަތް ފަންކާ ވަގަށް ނަގައިފި
Dollar ge agu ithurah dhashah higajje,ކަޅު ބާޒާރުގައި ޑޮލަރުގެ އަގު އަނެއްކާ ވެސް ދަށަށް
200 ah bodu kuran nimmaifi,ބޭރުގައި ކިޔަވާ ދަރިވަރުންނަށް ޑޮލަރު ލިމިޓް 1،200 އަށް ބޮޑުކުރަން ނިންމައިފި
VMA gai mi faharu emme gina award libunee Taylor Swift ah,ވީއެމްއޭގައި މިފަހަރު އެންމެ ގިނަ އެވޯޑު ލިބުނީ ޓޭލާ ސްވިފްޓަށް
Dhiraagu Road Race Fuvahmulakugai bavvanee,ދިރާގު ރޯޑް ރޭސް ފުވައްމުލަކުގައި ބާއްވަނީ
Habareh nuvaathaa 3 dhuvas vumun zuvaanaku hoadhanee,ހަބަރެއް ނުވާތާ ތިން ދުވަސް ވުމުން ޒުވާނަކު ހޯދަނީ
Fandiyaaru Azmiralda haaziru kuraa JSC ge aduehunthah anmmukoh hulhuvaalan edhijje,ފަނޑިޔާރު އަޒްމިރަލްދާ ހާޒިރުކުރާ ޖޭއެސްސީގެ އަޑުއެހުން އާންމުކޮށް ހުޅުވާލަން އެދިއްޖެ
Muizzu huvaa kuravvaa rasmiyyaathu Jumhooree maidhaanugai,މުއިއްޒު ހުވާކުރައްވާ ރަސްމިއްޔާތު ޖުމްހޫރީ މައިދާނުގައި
Abdulrahman ge maru: Miee mi rashu meehun kuraa zaathuge kameh noon,"އަބްދުއްރަހްމާންގެ މަރު: ""މިއީ މި ރަށު މީހުން ކުރާ ޒާތުގެ ކަމެއް ނޫން،"""
Dhiraagu Road Race: Half marathon ge 1 vana Nepal ge dhuvuntheriyaa Kiran Singh ah,ދިރާގު ރޯޑް ރޭސް: ހާފް މެރަތަންގެ އެއްވަނަ ނޭޕާލްގެ ދުވުންތެރިޔާ ކިރަން ސިންހް އަށް
Mi aharu 50 nikamethin hiley hajjah fonuvan nimmaifi,މި އަހަރު 50 ނިކަމެތިން ހިލޭ ހައްޖަށް ފޮނުވަން ނިންމައިފި
Raees ge dhigu siyaasee hayaathu ge furathama naakamiyaabee!,29 އަހަރު: ރައީސްގެ ދިގު ސިޔާސީ ހަޔާތްޕުޅުގެ ފުރަތަމަ ނާކާމިޔާބީ!
Roadha mahu mudhaa ufuleyne vaguthu thah kanda alhaifi,ރޯދަމަހު މުދާ އުފުލޭ ވަގުތުތައް ކަނޑައަޅައިފި
Enmme mathee fenvarugai dhamahattan Ronaldo kuraa masahkaieyy sifkoh nudhveyne: Vitinha,އެންމެ މަތީ ފެންވަރުގައި ދަމަހައްޓަން ރޮނާލްޑޯ ކުރާ މަސައްކަތް ސިފަކޮށް ނުދެވޭނެ: ވީޓީނިއާ
Lhafathugai kudhin maruvaa rate record minvarakah dhah vejje: UN,ޅަފަތުގައި ކުދިން މަރުވާ ރޭޓް ރެކޯޑް މިންވަރަކަށް ދަށް، އެކަމަކު ކުރިއެރުން ލަސް: އދ
muguraalan undhagoo 100 meter ge record Ru Ya muguraalaifi,އިތުރު 21 އަހަރު މަޑުކުރާކަށް ނުޖެހުނެ، އުނދަގޫ 100 މީޓަރުގެ ރެކޯޑް ރޫޔާ މުގުރާލައިފި
Israel ah vaagiverivaa gaumuthakuge amalu thakun dhakkuvaidhenee Palestine rayyithunge furaanaige ageh neiy kan,އިޒްރޭލަށް ވާގިވެރިވާ ގައުމުތަކުގެ އަމަލުތަކުން ދައްކުވައިދެނީ ފަލަސްތީނު ރައްޔިތުންގެ ފުރާނައިގެ އަގެއް ނެތް ކަން: ރައީސް
Saudi safeerah Islamic Ministry in raiy dhoolaige maruhabaaeh,ސައުދީ ސަފީރަށް އިސްލާމިކް މިނިސްޓްރީން ރަތް ދޫލައިގެ މަރުހަބާއެއް
Raees ah lafaa dhey zuvaanunge board inn Huwaina isthiufaa dheefi,ރައީސަށް ލަފާ ދޭ ޒުވާނުންގެ ބޯޑުން ހުވައިނާ އިސްތިއުފާ ދީފި
American Express aa eku othee card partner akaa eku onna gulhumakah vure badhahi gulhumeh: Shareef,އެމެކްސްއާ އެކު އޮތީ ކާޑު ޕާޓްރަނަރަކާ އެކު އޮންނަ ގުޅުމަކަށް ވުރެ ބަދަހި ގުޅުމެއް: ޝަރީފު
Bangkok mall  ah dhin badeege hamalaa: Dhivessakah aniyaavithoa balanee,ބެންކޮކް މޯލްއަށް ދިން ބަޑީގެ ހަމަލާ؛ ދިވެއްސަކަށް އަނިޔާވިތޯ ބަލަނީ
Ehee: Gasim misaalu dhakkavanee bappaafulhuge namoonaa in,އެހީ: ގާސިމް މިސާލު ދައްކަވަނީ ބައްޕާފުޅުގެ ނަމޫނާއިން
Lanka ge visa fee ah bodu badhaleh genesfi,ލަންކާގެ ވިސާ ފީއަށް ބޮޑު ބަދަލެއް ގެނެސްފި
4 dhaurah fahu Majileehuge Raees Aslam kataifi,ހަތަރު ދައުރަށް ފަހު މަޖިލީހުގެ ރައީސް އަސްލަމް ކަޓައިފި
Bizweek ge banking partner akee BML,"""ބިޒް ވީކު""ގެ ބެންކިން ޕާޓްނަރަކީ ބީއެމްއެލް"
Hawks ge massala massalaagai mu'assasaa thakah thuhumathuge ingili!,ހޯކްސްގެ މައްސަލާގައި މުއައްސަސާތަކަށް ތުހުމަތުގެ އިނިގިލި!
Raajjeygai hahdhaa kabothaketheege agu control kuranee,ރޯދަމަހަށް، ރާއްޖޭގައި ހައްދާ ކާބޯތަކެތީގެ އަގު ކޮންޓްރޯލް ކުރަނީ
rangalhee kon gotheh?,ދެ އިންތިހާބު އެއްކޮށްލުމުގައި އެކި ވިސްނުން، ރަނގަޅީ ކޮން ގޮތެއް؟
Umurun 87 aharu viyas landu jahan'gnaa Chhetri team ah nagaanan:  Coach,އުމުރުން 87 އަހަރުވިޔަސް ލަނޑު ޖަހަންޏާ ޗެތުރީ ޓީމަށް ނަގާނަން: އިންޑިއާގެ ކޯޗު
Governor akah Munavvar ayyan kuran Raees ah lafaa aruvan Majileehun faaskoffi,ގަވަރުނަރަކަށް މުނައްވަރު އައްޔަންކުރަން ރައީސަށް ލަފާއަރުވަން މަޖިލިހުން ފާސްކޮށްފި
City Council ge ihumaaulun Maafannu saharaa gai huri fen hindhaa pump station halaaku vejje: Muththalib,ސިޓީ ކައުންސިލުގެ އިހުމާލުން މާފަންނު ސަހަރާގައި ހުރި ފެން ހިންދާ ޕަމްޕް ސްޓޭޝަން ހަލާކުވެއްޖެ: މުއްތަލިބް
Fenaka in mihaathanah 800 million rufiyaa dhakkaifi,ފެނަކައިން މިހާތަނަށް 800 މިލިއަން ރުފިޔާ ދައްކައިފި
FAM ge extra ordinary congress eh anna mahu,އެފްއޭއެމްގެ އެކްސްޓްރާ އޯޑިނަރީ ކޮންގްރެސްއެއް އަންނަ މަހު
haalu rangalhu,ހަފީޒް މާލެ އަތުވެއްޖެ، ހާލު ރަނގަޅު
Igthisaadhee haalathu kiyaidheyn beyvvi committee sirru koffi,އިގުތިސާދީ ހާލަތު ކިޔައިދޭން ބޭއްވި ކޮމިޓީ ސިއްރުކޮށްފި
Cancer hospital ah magu fahi kuran UN ge Atomic Agency gai Rajjeyn baiverivanee,ކެންސަރު ހޮސްޕިޓަލަށް މަގުފަހިކުރަން އދ.ގެ އެޓޮމިކް އޭޖެންސީގައި ރާއްޖޭން ބައިވެރިވަނީ
Sun Siyam ge eheegai Kamadhoo emmennah hiley beys faruvaa dhenee,ސަން ސިޔާމްގެ އެހީގައި ކަމަދޫ އެންމެންނަށް ހިލޭ ބޭސް ފަރުވާ ދެނީ
Raajjeyge Global ambassador akah bollywood ge thari Katrina Kaif,ރާއްޖޭގެ ގްލޯބަލް އެމްބެސެޑަރަކަށް ބޮލީވުޑްގެ ތަރި ކެޓްރީނާ ކައިފް
Haradhu thah hamajassan MMA in loan eh nunagan: Minister,ހަރަދުތައް ހަމަޖައްސަން އެމްއެމްއޭ އިން ލޯނެއް ނުނަގަން: ޝަފީގު
000 kujjaku thibee aailaa aa vakivefai,ޣައްޒާގެ 17،000 ކުއްޖަކު ތިބީ އާއިލާއާ ވަކިވެފައި
PNC memberun ge adhadhu 1 lakka aa gaathah dhiyaee Raees ge siyaasathuge sababun: Abdul Raheem,ޕީއެންސީގެ މެމްބަރުންގެ އަދަދު ލައްކައަކާ ގާތަށް ދިޔައީ ރައީސްގެ ސިޔާސަތުގެ ސަބަބުން: އަބްދުއްރަހީމް
Dhari aku libeythee gaumee team dhookoh Foden rashah hingajje,ދަރިއަކު ލިބޭތީ ގައުމީ ޓީމު ދޫކޮށް ފޮޑެން ރަށަށް ހިނގައްޖެ
javaabudhaareevaan angaifi,އަބުރުގެ ދައުވާއާ ގުޅޭ އިއުތިރާޒުތައް ބަލައެއްނުގަތް؛ ޖަވާބުދާރީވާން އަންގައިފި
RDC ge hiyaanaaiy: Mookey aai Yasir ge electronic saamaanu thakeh fuluhun gengosfi,އާރުޑީސީގެ ހިޔާނާތް: މޫކޭ އާއި ޔާސިރުގެ އިލެކްޓްރޯނިކް ސާމާނުތަކެއް ފުލުހުން ގެންގޮސްފި
Majilis huttuvan jehunee sarukaaru memberun committee thakun beyru kurumun: Saleem,މަޖިލިސް ހުއްޓުވީ ސަރުކާރުގެ މެންބަރުން ކޮމިޓީތަކުން ބޭރުކުރުމުން: ސަލީމް
Rajinikanth ge Lal Salaam anna mahu 9 gai cinema ah,"ރަޖްނީކާންތުގެ ""ލާލް ސަލާމް"" އަންނަ މަހު ނުވައެއްގައި ސިނަމާ އަށް"
Hulhumale 2 ge sports car accident: 3 meehun ah Dhauvaa kuran fonuvaifi,ސްޕޯޓްސް ކާރު އެކްސިޑެންޓް މައްސަލާގައި ދައުވާކުރަން ފޮނުވައިފި
quater ah Vinícius suspend,ބްރެޒިލަށް މޮޅު ނުވެވުމުން ލިބުނީ ދެ ވަނަ، ކުއާޓާ އަށް ވިނީޝިއުސް ސަސްޕެންޑް
Lanka ge aa raees ves Defense aai Finance dhuleh nukuri,ލަންކާގެ އާ ރައީސް ވެސް ޑިފެންސާއި ފިނޭންސް ދުލެއް ނުކުރި
League hulhuvi match in fahu vaguthu United ah molheh,ލީގު ހުޅުވި މެޗުން ފަހު ވަގުތު ޔުނައިޓެޑަށް މޮޅެއް
Dollar ge kalhu bazar in nukunnah othee hani mageh,ޑޮލަރުގެ ކަޅު ބާޒާރުން ނުކުންނަން އޮތީ ހަނި މަގެއް
Error: read ETIMEDOUT **********,"ID: 143835, Error: read ETIMEDOUT **********"
Citadel: Honey Bunny ge trailer gai varugadha mazaruthakeh,"""ސިޓަޑެލް: ހަނީ ބަނީ""ގެ ޓްރެއިލާގައި ވަރުގަދަ މަންޒަރުތަކެއް"
Dr. Ibrahim Musthafa avahaara vejje,ބަޔޯމެޑިކަލް ރިސާޗް ސައިންޓިސްޓް ޑރ. އިބްރާހީމް މުސްތަފާ އަވަހާރަވެއްޖެ
Male commercial Port Thilafuttah badhalu kuran nimmaifi,މާލޭ ކޮމާޝަލް ޕޯޓް ތިލަފުށްޓަށް ބަދަލުކުރަން ނިންމައިފި
Kureege memberun ah dhey allowance uvaalan govaalanee,ކުރީގެ މެންބަރުންނަށް ދޭ އެލަވެންސް އުވާލަން ގޮވާލަނީ
3 Vana magaamaa eku SUS ah league nimijje,ތިންވަނަ މަގާމާ އެކު ސަސް އަށް ލީގު ނިމިއްޖެ
Laajassaigen Member Anara Naeem Hulhumale in goacheh milku kuravvaifi,ލާޖައްސައިގެން މެންބަރު އަނާރާ ހުޅުމާލޭން ގޯއްޗެއް ހޯއްދަވައިފި
15 aharu vee iru EC memberunge musaara bodu nuvaathee kanboduvun!,15 އަހަރުވީއިރު އީސީ މެންބަރުންގެ މުސާރަ ބޮޑުނުވާތީ ކަންބޮޑުވުން!
PSIP ge  mashroou thakah kuri heydha 40 percent dhashah,ޕީއެސްއައިޕީގެ މަޝްރޫއުތަކަށް 325 މިލިއަން، މިދިޔަ އަހަރަށް ވުރެ 40 ޕަސެންޓު ދަށަށް
BML islamic ge ATM Hulhumale 2 gai hulhuvaifi,ބީއެމްއެލް އިސްލާމިކްގެ އޭޓީއެމް ހުޅުމާލެ 2 ގައި ހުޅުވައިފި
Gold Cup akee Raajje ah ehves faidhaa vaane mubaartheh noon: Eagles,ގޯލްޑް ކަޕަކީ ރާއްޖެއަށް އެއްވެސް ފައިދާއެއް ވާނެ މުބާރާތެއް ނޫން: އީގަލްސް
Hulhumale hospital in meeheh ge zaathee mauloomaathu aammukuri massala eh balanee,ހުޅުމާލެ ހޮސްޕިޓަލުން މީހެއްގެ ޒާތީ މައުލޫމާތު އާއްމުކުރި މައްސަލަ ބަލަނީ
Story: Sihun,ސިހުން
Bulha facility ah beynunva baeh saamaanu hoadhanee,ބުޅާ ފެސިލިޓީއަށް ބައެއް ސާމާނު ހޯދަނީ
Copa America Final ge kurin security aa medhu kanboduvun,ކޮޕާ އެމެރިކާ ފައިނަލްގެ ކުރިން ސެކިއުރިޓީއާ މެދު ކަންބޮޑުވުން
India ge cricket team ge kaamiyaabee faahaga kuran Raajje annan dhauvathu dheefi,އިންޑިއާގެ ގައުމީ ކްރިކެޓް ޓީމުގެ ކާމިޔާބީ ފާހަގަކުރަން ރާއްޖެ އައުމަށް ދައުވަތު ދީފި
Japan sarukaarun dhin scholarship nimmi dharivarun Safeer aa bahdhalu koffi,ޖަޕާނު ސަރުކާރުން ދިން ސްކޮލަޝިޕް ނިންމި ދަރިވަރުން ސަފީރާ ބައްދަލުކޮށްފި
Error: Request failed with status code 504 **********,"ID: 125448, Error: Request failed with status code 504 **********"
India-Pakistan hamanujehumaa gulhigen varah gina music show thah cancel koffi,އިންޑިއާ-ޕާކިސްތާން ހަމަނުޖެހުމާ ގުޅިގެން ވަރަށް ގިނަ މިއުޒިކް ޝޯތައް ކެންސަލްކޮށްފި
Nolhivaranfarugai Tourist akah jinsee goanakuri thuhumathugai Dhivesseh hayyaru,ނޮޅިވަރަންފަރުގައި ޓޫރިސްޓަކަށް ޖިންސީ ގޯނާކުރި ތުހުމަތުގައި ދިވެއްސަކު ހައްޔަރުކޮށްފި
Loabiveriya ge kuree ge firimeehage cycle gai roakolli meehaku hayyarukoffi,ލޯބިވެރިޔާގެ ކުރީގެ ފިރިމީހާގެ ސައިކަލުގައި ރޯކޮށްލި މީހަކު ހައްޔަރުކޮށްފި
Kondey aai bin bodethi rahthakugai dhanduverikan kuri aruvanee,ކޮނޑޭ އާއި ބިން ބޮޑު އެހެން ރަށްރަށުގައި ދަނޑުވެރިކަން ކުރިއަރުވަނީ
India gai tourist aku gang rape koffi,އިންޑިއާގައި ޓޫރިސްޓަކު ގޭންގްރޭޕް ކޮށްފި
Sense make kolli Chin ah Maafushin hudhanbareh fenijje,"""ސެންސް މޭކް"" ކޮށްލި ޗިންއަށް މާފުށިން ހުދަންބަރެއް ފެނިއްޖެ"
GOLD CUP ge hinithun vumaa eku footboalha foari dhiruvanvee vaguthu jehijje,ގޯލްޑް ކަޕްގެ ހިނިތުންވުމާ އެކު، ފުޓުބޯޅަ ފޯރި ދިރުވަންވީ ވަގުތު ޖެހިއްޖެ
Gaza in 25 aharah fahu Polio fenijje,ޣައްޒާއިން 25 އަހަރަށް ފަހު ޕޯލިއޯ ފެނިއްޖެ
massala kaamiyaabeh nuvi,މަސްރޭހެއް ކެންސަލް ކުރުމުން ކޯޓަށް، މައްސަލަ ކާމިޔާބެއް ނުވި!
Ameenee maguge thaarugandun halaakuvefa huri thanthan hadhan fashaifi,އަމީނީމަގުގެ ތާރުގަނޑުން ހަލާކުވެފައި ހުރި ތަންތަން ހަދަން ފަށައިފި
Theluge hiyaanaathuge bodu thuhumatheh; STO ge board maaliyyathu committee ah haaziru kuranee,ތެލުގެ ހިޔާނާތުގެ ބޮޑު ތުހުމަތެއް؛ އެސްޓީއޯގެ ބޯޑު މާލިއްޔަތު ކޮމިޓީއަށް ހާޒިރުކުރަނީ
Vaahaka: Aadha,އާދަ
Spain match aky retire kuraa match akah nuvaane: Kroos,ސްޕެއިން މެޗަކީ ރިޓަޔާ ކުރާ މެޗަކަށް ނުވާނެ: ކްރޫސް
BML aa cardthakuge design: fennanee redhanai murakaige reethikan,ބީއެމްއެލްގެ އާ ކާޑުތައް: ދައްކުވައިދެނީ ރެދަނާއި މުރަކައިގެ ރީތިކަން
Bollywood gai Deepika aai Sandeep ge arairumeh!,ބޮލީވުޑްގައި ދީޕިކާ އާއި ސަންދީޕުގެ އަރައިރުމެއް!
Philippines athun bali ve Raajjeyge feshun goas,ފިލިޕީންސް އަތުން ބަލިވެ ރާއްޖޭގެ ފެށުން ގޯސް
Beelan usoolun Hulhumale' gai smart parking ge 41 jaaga dhookuran hulhuvaalaifi,ބީލަން އުސޫލުން ހުޅުމާލޭގެ ސްމާޓް ޕާކިންގެ 41 ޖާގަ ދޫކުރަން ހުޅުވާލައިފި
5 aharu fahun Hajj thakuraaru kurevey goi hadhaifi,އަލަށް ހައްޖުވާ މީހުންނަށް އިސްކަންދީ، ފަސް އަހަރު ފަހުން ހައްޖު ތަކުރާރު ކުރެވޭ ގޮތް ހަދައިފި
Aamdhanee 615 million,ފުރަތަމަ ހަފްތާގެ ހަރަދު 520 މިލިއަން، އާމްދަނީ 615 މިލިއަން
Arsenal ah goal nujeheythee kulhuntherin ge nafsaanee haalaa medhu Arteta kanbodu vefai,އާސެނަލް އަށް ގޯލު ނުޖެހޭތީ ކުޅުންތެރިންގެ ނަފްސާނީ ހާލާ މެދު އާޓެޓާ ކަންބޮޑުވެފައި
Sport science ge thajuibaa in Dhivehinah; Kulhivaru thahah hama hama kurumugai faruvaatheri vaanjehy,ސްޕޯޓްސް ސައިންސްގެ ތަޖުރިބާކާރެއްގެ ވާހަކަ ދިވެހިންނަށް؛ ކުޅިވަރުތައް ހަމަހަމަ ކުރުމުގައި ފަރުވާތެރިވާން ޖެހޭ
Islanders education in kulhivaraa behey academy eh,އައިލެންޑާސް އެޑިއުކޭޝަނުން ކުޅިވަރާ ބެހޭ އެކަޑަމީއެއް
Pochettino anganee supporterun hama jehen,މުޑްރިކްގެ ފުރަތަމަ ގޯލް، ޕޮޗެޓިނޯ އަންގަނީ ސަޕޯޓަރުން ހަމަޖެހެން
musaara ves dhevey vareh noon!,ފެނަކަ އިނދަޖެހިފައި، މުސާރަ ވެސް ދެވޭ ވަރެއް ނޫން!
Raiy kandugai iyye ves boat akah hamalaa dheefi,ރަތް ކަނޑުގައި އިއްޔެ ވެސް ބޯޓަކަށް ހަމަލާދީފި
Atholhuvessah gendhiya meehaku moodhah fummaalaifi,އަތޮޅުވެއްސަށް ގެންދިޔަ މީހަކު މޫދަށް ފުންމާލައިފި
ekamaku Ziyau nukuraa thajuriba eh neiy,ލޯފަން، އެކަމަކު ޒިޔާއު ނުކުރާ ތަޖުރިބާއެއް ނެތް
BML ge dhauru fulhaa kurumah abadhuves vaagiverivaane: Sarukaaru,ބީއެމްއެލްގެ ދައުރު ފުޅާކުރުމަށް އަބަދުވެސް ވާގިވެރިވާނެ: ސަރުކާރު
Sporting ge contract gai hure Amorim West Ham aa vaahaka dhekkumun supporter un rulhi gadha vejje,ސްޕޯޓިންގެ ކޮންޓްރެކްޓްގައި ހުރެ އަމޯރިމް ވެސްޓްހޭމާ ވާހަކަ ދެއްކުމުން ސަޕޯޓަރުން ރުޅިގަދަވެއްޖެ
Muizzu ge housing minister kamugai emme goachcheh ves dhoonukurevunu: Iyaad,މުއިއްޒުގެ ހައުސިން މިނިސްޓަރު ކަމުގައި އެންމެ ގޯއްޗެއް ވެސް ދޫނުކުރެވުނު: އިޔާދު
Raajje amaanvi varu raees dhekkevee thafaashisaabun!,ރާއްޖެ އަމާންވި ވަރު ރައީސް ދެއްކެވީ ތަފާސްހިސާބުން!
Tax commissioner kamah Zareer ayyan kuran faaskoffi,ޓެކްސް ކޮމިޝަނަރު ކަމަށް ޒަރީރު އައްޔަން ކުރަން ފާސްކޮށްފި
Masthuvaathakethi huri shipment balaa dhiyaee bidheysee eh,އިއްޔެ އަތުލައިގަތް މަސްތުވާތަކެތީގެ ބޮޑު ޝިޕްމެންޓް ބަލާ ދިޔައީ ބިދޭސީއެއް
Gaa hudhuvaa massalaigai EPA in elhi fiyavalhu thakah MATI in maruhabaa kiyaifi,ގާ ހުދުވާ މައްސަލާގައި އީޕީއޭ އިން އެޅި ފިޔަވަޅުތަކަށް މަޓީން މަރުހަބާ ކިޔައިފި
Nooru miskithugai imaamuve tharaaveeh kuraanee 11 aharu ge Izkan,ނޫރު މިސްކިތުގައި އިމާމުވެ ތާރާވީހް ކުރާނީ 11 އަހަރުގެ އިޒްކާން
Raees Muizzu ge ufandhuvahah China ge Raees Xi ge thahuniyage haassa sity eh,ރައީސް މުއިއްޒުގެ އުފަންދުވަހަށް ޗައިނާގެ ރައީސް ޝީގެ ތަހުނިޔާގެ ހާއްސަ ސިޓީފުޅެއް
Russia aa gulhuvaigen Maumoon kurevvi post ah safeeru ge nuruhun,ރަޝިޔާއާ ގުޅުވައިގެން މައުމޫން ކުރެއްވި ޕޯސްޓަށް ސަފީރުގެ ނުރުހުން
Dr. Isneen: Gohoruge furathama dhivehi Doctor,ޑރ. އިސްނީން: ގޮހޮރުގެ ފުރަތަމަ ދިވެހި ޑޮކްޓަރު
mi aharu 10 car,ދައުލަތުން ކާރު ގަންނަން 13 އަހަރުން 80 މިލިއަން ރުފިޔާ، މި އަހަރު 10 ކާރު
Ihavandhoo fisheries complex ge bingaa alhaifi,އިހަވަންދޫ ފިޝަރީޒް ކޮމްޕްލެކްސްގެ ބިންގާ އަޅައިފި
Venezuela ge raees ge mathindhaa boat USA in athulaifi,ވެނެޒުއޭލާގެ ރައީސްގެ މަތިންދާބޯޓު އެމެރިކާއިން އަތުލައިފި
Real Madrid Club World Cup ah dhaany Alonso aa eku,ރެއާލް ކްލަބް ވޯލްޑް ކަޕަށް ދާނީ އޮލޮންސޯއާ އެކު
Addu gai ihi nagan feybi kujjaku gelligen hoadhanee,އައްޑޫގައި އިހި ނަގަން ފޭބި ކުއްޖަކު ގެއްލިގެން ހޯދަނީ
Normalization Committee ah office eh neiyy,އެފްއޭއެމް އިމާރާތް ވީރާނާވެފައި، ނޯމަލައިޒޭޝަން ކޮމިޓީއަށް އޮފީހެއް ނެތް
Ithubaaru neiy massala gai javaabudhaareevaan Shameem committee ah haaziru kuranee,އިތުބާރު ނެތްކަމުގެ މައްސަލާގައި ޖަވާބުދާރީވާން ޝަމީމް ކޮމިޓީއަށް ހާޒިރުކުރަނީ
Cigarette aai Vape ge duty miadhun feshigen boduvaane,ސިނގިރޭޓާއި ވޭޕްގެ ޑިއުޓީ މިއަދުން ފެށިގެން ބޮޑުވާނެ
Natheejaa badhalu kohli Champion Italy ah kaamiyaabu,ޔޫރޯގެ އެންމެ އަވަސް ގޯލް އަލްބޭނިއާއަށް، ނަތީޖާ ބަދަލުކޮށްލައި ޗެމްޕިއަން އިޓަލީއަށް ކާމިޔާބު
Sarukaarun SOE thakah furathama 3 mahu  1.3 billion Rufiyaa,ސަރުކާރުން އެސްއޯއީތަކަށް ފުރަތަމަ ތިން މަހު 1.3 ބިލިއަން ރުފިޔާ ހޭދަކޮށްފި
Council block grant ah 1.9 billion heydhakoffi,ކައުންސިލް ބްލޮކް ގްރާންޓަށް 1.9 ބިލިއަން ހޭދަކޮށްފި
000 rufiya ah joorimana koffi,އުނގޫފާރުގައި ކަރަންޓުގައި ޖެހިގެން މީހަކު މަރުވި މައްސަލާގައި ފެނަކައަށް 50،000ރ. ގެ ޖޫރިމަނާއެއް
Nabeekaleyfaanu ge hayaaipulhun 7,ނަބީކަލޭގެފާނުގެ ހަޔާތްޕުޅުން 7
Snorkelling ah dhiya tourist aku gelligen hoadhan fashaifi,ސްނޯކެލިންއަށް ދިޔަ ޓޫރިސްޓަކު ގެއްލިގެން ހޯދަން ފަށައިފި
ulha'ndheh ves noannaane: Shamaal,ދިވެހި ސިފައިންގެ ބާރު ނުހިނގާ ތަނެއް، އުޅަނދެއް ވެސް ނޯންނާނެ: ޝަމާލް
Error: Request failed with status code 504 **********,"ID: 137042, Error: Request failed with status code 504 **********"
Managing director akah Nasreen,ޕީއެސްއެމްގެ ޗެއާޕާސަނަކަށް ނަމްޒާ، މެނޭޖިން ޑިރެކްޓަރަކަށް ނަސްރީން
Virgin Airline in seedha dhathuru thah Raajje ah fashaifi,ވާޖިން އެއާލައިނުން ރާއްޖެއަށް ސީދާ ދަތުރުތައް ފަށައިފި
BML Islamic inn Junior Surfing Championship ah ehee vejje,ބީއެމްއެލް އިސްލާމިކް އިން ޖޫނިއާ ސާފިން ޗެމްޕިއަންޝިފަށް އެހީވެއްޖެ
Gas fulhi govi haadhisa MNDF aai Fuluhun gulhigen thahugeegu kuranee,ގޭސް ފުޅި ގޮވައި ދެ މީހަކު މަރުވި ހާދިސާ ސިފައިންނާއި ފުލުހުން ގުޅިގެން ތަހުގީގުކުރަނީ
Guest House akah meehaku vaddhai feyrunu 2 meehunah dhauvaa kuran fonuvaifi,ގެސްޓް ހައުސްއަަކަށް މީހަކު ވައްދައި ފޭރުނު ދެ މީހުންނަށް ދައުވާކުރަން ފޮނުވައިފި
Maalee dhathikamun araigathumah ves India ge eheetherikan libeyne: Raees,މާލީ ދަތިކަމުން އަރައިގަތުމަށް ވެސް އިންޑިއާގެ އެހީތެރިކަން ލިބޭނެ: ރައީސް
Vote ga badhalugai candidate in ge faraathun faisaa ah edhey massala bodu: Transparency,ވޯޓުގެ ބަދަލުގައި ކެންޑިޑޭޓުންގެ ފަރާތުން ފައިސާ އަށް އެދޭ މައްސަލަ ބޮޑު: ޓްރާންސްޕޭރަންސީ
Magoodhoo airport huttaali kamah bune majileehah kulli massalaeh!,މަގޫދޫ އެއާޕޯޓު ހުއްޓާލިކަމަށް ބުނެ މަޖިލީހަށް ކުއްލި މައްސަލައެއް!
Dollaruge massala hallu kuran alhaane fiyavalhu thah ekulavailanee,ޑޮލަރުގެ މައްސަލަ ހައްލު ކުރަން އަޅާނެ ފިޔަވަޅުތަކެއް އެކުލަވާލަނީ
Villingili ge ihuthijaaju: beynumee magey anbimeehaage haggugai Hospital ah rangalhu gotheh vun,"ވިލިނގިލީގެ އިހުތިޖާޖު: ""ބޭނުމީ މަގޭ އަނބިމީހާގެ ހައްގުގައި ހޮސްޕިޓަލަށް ރަނގަޅު ގޮތެއް ވުން"""
Hudhuma fihaaraige veriyaa niya vejje,ހުދުމާ ފިހާރައިގެ ވެރިޔާ ނިޔާވެއްޖެ
Foari gadha Eid akah Villingili othee thayyaarah,ފޯރިގަދަ އީދަކަށް ވިލިނގިލި އޮތީ ތައްޔާރަށް
Sai hotaa thakeggai dhiri ulhunu bidheyseen thakeh hifahattaifi,ސައިހޮޓާތަކެއްގައި ދިރިއުޅުނު ބިދޭސީންތަކެއް ހިފަހައްޓައިފި
